frame,image_path,steer,throttle,brake,speed,heading,vehicle_id,vehicle_type
6691,images_sept/006691.png,0.051529124379158,0.4888530969619751,0.0,5.52,29.79,131,vehicle.mercedes.coupe_2020
5571,images_sept/005571.png,0.0023080497048795,0.4425346255302429,0.0,5.62,0.19,131,vehicle.mercedes.coupe_2020
1393,images_sept/001393.png,0.001758320373483,0.8500000238418579,0.0,2.28,0.15,131,vehicle.mercedes.coupe_2020
1922,images_sept/001922.png,-0.000952159112785,0.0,1.0,0.0,-179.23,131,vehicle.mercedes.coupe_2020
2863,images_sept/002863.png,0.0072929887101054,0.0,1.0,0.0,-179.57,131,vehicle.mercedes.coupe_2020
3685,images_sept/003685.png,0.0,0.3858335018157959,0.0,5.61,-89.61,131,vehicle.mercedes.coupe_2020
4223,images_sept/004223.png,-0.0005497292731888,0.7891119122505188,0.0,5.48,-179.41,131,vehicle.mercedes.coupe_2020
9957,images_sept/009957.png,0.0429538488388061,0.4275510907173157,0.0,5.63,-100.21,131,vehicle.mercedes.coupe_2020
2628,images_sept/002628.png,0.0127306161448359,0.5570027828216553,0.0,5.54,-90.11,131,vehicle.mercedes.coupe_2020
2158,images_sept/002158.png,-0.0023080497048795,0.4704838991165161,0.0,5.64,90.64,131,vehicle.mercedes.coupe_2020
551,images_sept/000551.png,0.0099560366943478,0.0,1.0,0.0,179.91,131,vehicle.mercedes.coupe_2020
1741,images_sept/001741.png,-0.0834154188632965,0.4366652369499206,0.0,5.63,-163.46,131,vehicle.mercedes.coupe_2020
3827,images_sept/003827.png,-0.0767857581377029,0.464282751083374,0.0,5.61,-98.23,131,vehicle.mercedes.coupe_2020
1818,images_sept/001818.png,0.0062369983643293,0.4392989873886108,0.0,5.62,-179.79,131,vehicle.mercedes.coupe_2020
7703,images_sept/007703.png,-0.0028030804824084,0.0,1.0,0.0,0.26,131,vehicle.mercedes.coupe_2020
